Category	Precision	Recall	F1-score	TP	FP	FN
HCC1937_ONT,0.2,Longphase_TO_v0_0_1_2,snv	0.3036238981390793	0.21523701319194596	0.2519021939868508	3410	7821	12433
HCC1954_ONT,1.0,Longphase_TO_v0_0_1_2,snv	0.44912714955706096	0.6673118799903218	0.5368996865814013	13790	16914	6875
HCC1954_ONT,0.8,Longphase_TO_v0_0_1_2,snv	0.43846020561395405	0.7347205419791919	0.5491834409418914	15183	19445	5482
HCC1954_ONT,0.6,Longphase_TO_v0_0_1_2,snv	0.3747722865369924	0.617227195741592	0.4663705003747783	12755	21279	7910
HCC1954_ONT,0.4,Longphase_TO_v0_0_1_2,snv	0.2796098467254993	0.4078393418824099	0.33176530793000963	8428	21714	12237
HCC1954_ONT,0.2,Longphase_TO_v0_0_1_2,snv	0.05946441132686613	0.17590128236148075	0.08888182507274371	3635	57494	17030
COLO829_ONT_PAO,1.0,Longphase_TO_v0_0_1_deepPON,snv	0.6034205631106536	0.8065271441330534	0.6903448418355751	33412	21959	8015
COLO829_ONT_PAO,0.8,Longphase_TO_v0_0_1_deepPON,snv	0.7630557258370552	0.6309894513240157	0.6907668727868506	26140	8117	15287
COLO829_ONT_PAO,0.6,Longphase_TO_v0_0_1_deepPON,snv	0.7625118982014929	0.7348106307480629	0.7484050203444419	30441	9481	10986
COLO829_ONT_PAO,0.4,Longphase_TO_v0_0_1_deepPON,snv	0.7281017970515442	0.65331788447148	0.688685606687108	27065	10107	14362
COLO829_ONT_PAO,0.2,Longphase_TO_v0_0_1_deepPON,snv	0.5768873824799258	0.3451130904965361	0.4318682978402054	14297	10486	27130
H1437_ONT,1.0,Longphase_TO_v0_0_1_deepPON,snv	0.7467264811534705	0.5864252099529393	0.6569383460398599	45109	15300	31813
H1437_ONT,0.8,Longphase_TO_v0_0_1_deepPON,snv	0.8386175557084193	0.52301032214451	0.6442371592137396	40231	7742	36691
H1437_ONT,0.6,Longphase_TO_v0_0_1_deepPON,snv	0.8061528410291885	0.5453966355528977	0.6506207206718206	41953	10088	34969
H1437_ONT,0.4,Longphase_TO_v0_0_1_deepPON,snv	0.7819747630160467	0.49223889134447885	0.6041661680349122	37864	10557	39058
H1437_ONT,0.2,Longphase_TO_v0_0_1_deepPON,snv	0.6934950711292132	0.3054652765138712	0.4241182628785964	23497	10385	53425
H2009_ONT,1.0,Longphase_TO_v0_0_1_deepPON,snv	0.9021342595626625	0.9021802452593866	0.9021572518250169	123891	13440	13433
H2009_ONT,0.8,Longphase_TO_v0_0_1_deepPON,snv	0.932769563022846	0.8208907401473886	0.8732613672015709	112728	8125	24596
H2009_ONT,0.6,Longphase_TO_v0_0_1_deepPON,snv	0.9119960141039399	0.866410824036585	0.8886191856122846	118979	11481	18345
H2009_ONT,0.4,Longphase_TO_v0_0_1_deepPON,snv	0.89611744541322	0.7880996766770557	0.838644685096573	108225	12546	29099
H2009_ONT,0.2,Longphase_TO_v0_0_1_deepPON,snv	0.8335042582601329	0.4083699863097492	0.5481684220815718	56079	11202	81245
HCC1395_ONT,1.0,Longphase_TO_v0_0_1_deepPON,snv	0.6676928861836384	0.7202322103075012	0.6929681211736871	28411	14140	11036
HCC1395_ONT,0.8,Longphase_TO_v0_0_1_deepPON,snv	0.7428750748866003	0.660126245341851	0.6990604026845637	26040	9013	13407
HCC1395_ONT,0.6,Longphase_TO_v0_0_1_deepPON,snv	0.7108080977078802	0.6462088371739296	0.676970879974505	25491	10371	13956
HCC1395_ONT,0.4,Longphase_TO_v0_0_1_deepPON,snv	0.669330385344283	0.5372018150936699	0.5960313330614425	21191	10469	18256
HCC1395_ONT,0.2,Longphase_TO_v0_0_1_deepPON,snv	0.5089843191458939	0.27071767181281214	0.35344542265175083	10679	10302	28768
HCC1395_ONT_Dorado,1.0,Longphase_TO_v0_0_1_deepPON,snv	0.6758946498169364	0.7253783557684995	0.6997627839866963	28614	13721	10833
HCC1395_ONT_Dorado,0.8,Longphase_TO_v0_0_1_deepPON,snv	0.7922422405181025	0.5830101148376302	0.6717097961329517	22998	6031	16449
HCC1395_ONT_Dorado,0.6,Longphase_TO_v0_0_1_deepPON,snv	0.7631310303948365	0.5874717976018455	0.6638783052109892	23174	7193	16273
